"","Day","Station","Hour","Mean","Variance"
"162","Weekend","Guadalupe",5,243.009115384615,101.63896693439
"163","Weekend","Guadalupe",6,694.235865384615,1037.97390929206
"164","Weekend","Guadalupe",7,973.257884615385,2067.7021660714
"165","Weekend","Guadalupe",8,1052.56094230769,1281.17017884712
"166","Weekend","Guadalupe",9,1113.80585576923,610.951347105149
"167","Weekend","Guadalupe",10,1098.27453846154,508.837456289129
"168","Weekend","Guadalupe",11,1121.478875,521.679161612704
"169","Weekend","Guadalupe",12,1111.40775,706.243922654533
"170","Weekend","Guadalupe",13,1086.303125,602.040688929962
"171","Weekend","Guadalupe",14,1052.02473076923,515.086309757983
"172","Weekend","Guadalupe",15,1033.53906730769,494.352497193107
"173","Weekend","Guadalupe",16,1073.29500961538,695.208771015746
"174","Weekend","Guadalupe",17,1026.27967307692,879.807014540798
"175","Weekend","Guadalupe",18,930.976980769231,889.585877553219
"176","Weekend","Guadalupe",19,790.623711538462,583.276062494077
"177","Weekend","Guadalupe",20,647.184269230769,328.384384671654
"178","Weekend","Guadalupe",21,431.231182692308,142.733441388041
"179","Weekend","Guadalupe",22,67.4727788461538,14.5763567227546
"180","Weekend","Guadalupe",23,0.367692307692308,0.135944228251921
"181","Weekend","Buendia",4,0.116067307692308,0.0019072288819885
"182","Weekend","Buendia",5,39.9303173076923,3.92969874376966
"183","Weekend","Buendia",6,127.830019230769,28.7247713982474
"184","Weekend","Buendia",7,163.470615384615,52.0923690761768
"185","Weekend","Buendia",8,152.640913461538,46.0898065201851
"186","Weekend","Buendia",9,150.871990384615,49.5345623944025
"187","Weekend","Buendia",10,175.718125,87.5288542772617
"188","Weekend","Buendia",11,193.676317307692,122.215823759318
"189","Weekend","Buendia",12,232.370980769231,177.977213277997
"190","Weekend","Buendia",13,225.868576923077,184.0556882489
"191","Weekend","Buendia",14,277.000538461538,264.090791129887
"192","Weekend","Buendia",15,333.586990384615,423.305702039965
"193","Weekend","Buendia",16,400.046278846154,746.848146596208
"194","Weekend","Buendia",17,427.555971153846,1224.86026086728
"195","Weekend","Buendia",18,359.936394230769,897.15968120256
"196","Weekend","Buendia",19,302.616086538462,758.350503949863
"197","Weekend","Buendia",20,216.282788461538,372.164820691624
"198","Weekend","Buendia",21,170.542317307692,204.002819590948
"199","Weekend","Buendia",22,23.1769326923077,5.85765427030211
"200","Weekend","Buendia",23,0.0827307692307692,0.00688217655525348
"201","Weekend","Ayala Ave",4,0.449096153846154,0.0141701949730796
"202","Weekend","Ayala Ave",5,115.838221153846,51.4593030877586
"203","Weekend","Ayala Ave",6,339.309557692308,305.057103179733
"204","Weekend","Ayala Ave",7,467.774269230769,509.60998733793
"205","Weekend","Ayala Ave",8,456.192278846154,354.117227896443
"206","Weekend","Ayala Ave",9,453.338153846154,304.604673254616
"207","Weekend","Ayala Ave",10,483.664375,309.422086285157
"208","Weekend","Ayala Ave",11,574.250134615385,438.711255246
"209","Weekend","Ayala Ave",12,699.275778846154,689.964886968977
"210","Weekend","Ayala Ave",13,808.96775,769.676333571367
"211","Weekend","Ayala Ave",14,968.734682692308,957.871604717791
"212","Weekend","Ayala Ave",15,1215.30840384615,1846.64474131343
"213","Weekend","Ayala Ave",16,1401.45230769231,3113.66874015287
"214","Weekend","Ayala Ave",17,1366.27532692308,3804.5683129546
"215","Weekend","Ayala Ave",18,1398.59058653846,3543.89103542883
"216","Weekend","Ayala Ave",19,1503.33298076923,3409.47859259963
"217","Weekend","Ayala Ave",20,1380.043125,2933.45823336049
"218","Weekend","Ayala Ave",21,1315.77054807692,1738.38111005153
"219","Weekend","Ayala Ave",22,105.940875,167.553705961787
"220","Weekend","Ayala Ave",23,0.257663461538462,0.061877501669569
"221","Weekend","Magallanes",4,0.114490384615385,0.00176733232863041
"222","Weekend","Magallanes",5,211.703201923077,120.765618920603
"223","Weekend","Magallanes",6,575.084394230769,793.663086650908
"224","Weekend","Magallanes",7,686.089894230769,1070.26299572492
"225","Weekend","Magallanes",8,670.442990384615,887.528387111131
"226","Weekend","Magallanes",9,658.062375,662.442395042139
"227","Weekend","Magallanes",10,643.284903846154,558.918830544672
"228","Weekend","Magallanes",11,661.518346153846,513.558767674479
"229","Weekend","Magallanes",12,761.095413461538,857.219351106932
"230","Weekend","Magallanes",13,725.022317307692,662.850001995246
"231","Weekend","Magallanes",14,791.509182692308,875.691049127437
"232","Weekend","Magallanes",15,925.010471153846,1450.25334756715
"233","Weekend","Magallanes",16,1126.07763461538,3327.78279782408
"234","Weekend","Magallanes",17,1302.33403846154,6806.09592454881
"235","Weekend","Magallanes",18,1160.27021153846,5766.89310978841
"236","Weekend","Magallanes",19,987.413221153846,3630.29659840823
"237","Weekend","Magallanes",20,749.383528846154,1703.25801691401
"238","Weekend","Magallanes",21,506.386403846154,563.36948055711
"239","Weekend","Magallanes",22,58.5837596153846,18.8660444356154
"240","Weekend","Magallanes",23,0.183846153846154,0.0339860570629801
"241","Weekend","Taft",4,0,0
"242","Weekend","Taft",5,702.832384615385,1229.70967651972
"243","Weekend","Taft",6,1727.86440384615,10504.9428781218
"244","Weekend","Taft",7,2312.95771153846,19001.624076517
"245","Weekend","Taft",8,2519.398,13610.1265205975
"246","Weekend","Taft",9,2539.13068269231,8717.12542254894
"247","Weekend","Taft",10,2364.54449038462,4246.18602032793
"248","Weekend","Taft",11,2409.62300961538,2761.37078592563
"249","Weekend","Taft",12,2447.70963461538,3263.93489262154
"250","Weekend","Taft",13,2433.80738461538,3174.91254484662
"251","Weekend","Taft",14,2474.6565,3037.0542848529
"252","Weekend","Taft",15,2569.37731730769,3302.19545145358
"253","Weekend","Taft",16,2944.50419230769,5764.8186535189
"254","Weekend","Taft",17,3003.070625,8077.57541435435
"255","Weekend","Taft",18,2650.62875,6684.57260847201
"256","Weekend","Taft",19,2285.40031730769,3989.80514170892
"257","Weekend","Taft",20,1865.28409615385,2480.0467845697
"258","Weekend","Taft",21,1235.71670192308,1119.18524688066
"259","Weekend","Taft",22,36.6674711538462,65.2732878136087
"260","Weekend","Taft",23,0.00978846153846154,8.99268351191428e-05
"261","Weekday","North Ave",4,517.232353846154,175.937286758001
"262","Weekday","North Ave",5,2920.46138846154,3197.61453985759
"263","Weekday","North Ave",6,5128.0342,10952.3978524432
"264","Weekday","North Ave",7,5155.70303076923,9840.99831531318
"265","Weekday","North Ave",8,4836.86572307692,7108.90052573663
"266","Weekday","North Ave",9,4120.37091923077,4181.84536350373
"267","Weekday","North Ave",10,3527.54171923077,2499.50079324281
"268","Weekday","North Ave",11,3403.87572692308,1799.39915987406
"269","Weekday","North Ave",12,3342.63124230769,1737.97906355869
"270","Weekday","North Ave",13,2915.28352307692,1317.32173133702
"271","Weekday","North Ave",14,2390.55266538462,856.19649745531
"272","Weekday","North Ave",15,2071.25772692308,614.160219078827
"273","Weekday","North Ave",16,2137.84241153846,686.688913236772
"274","Weekday","North Ave",17,2445.80738846154,1035.25168711254
"275","Weekday","North Ave",18,2517.10916923077,1114.88923803306
"276","Weekday","North Ave",19,2468.73309230769,974.951089509391
"277","Weekday","North Ave",20,2174.71860769231,951.831137524447
"278","Weekday","North Ave",21,358.451534615385,68.3415372443301
